Last Name,First Name,Grade,SID
Bennett,Richard,9,rjb91830
Parker,Timothy,8,txp55047
Reyes,Carol,5,cxr98775
Powers,Brooke,5,bdp78944
Taylor,Michael,5,mat59156
Bailey,Belinda,5,bmb94857
Stevens,Marcia,6,mxs29840
Faulkner,Katelyn,5,kxf45205
Daniel,William,8,wad63934
Johnson,Dylan,5,dxj78877
Thomas,Sandra,8,sxt33634
Saunders,Richard,9,rxs30280
Ortega,Tiffany,6,tmo55387
Schwartz,Billy,10,bxs54690
Vasquez,Sara,5,sxv18182
Martin,Ashley,5,asm59771
Rush,Oscar,5,oxr30270
Walsh,Jill,5,jxw98212
Hernandez,Taylor,10,thh29195
Cooper,Adam,4,amc28428
Raymond,Troy,6,tbr17292
Washington,Travis,10,txw75701
King,Paige,7,pmk49230
Miller,Anthony,8,axm26865
Underwood,James,5,jxu45537
Cervantes,Scott,4,sxc85021
Terry,Thomas,7,txt65366
Glover,Heidi,4,hxg56446
Payne,Douglas,7,dxp49123
Lee,Danielle,6,dsl24347
Gordon,Lori,8,lxg35058
Dunn,Amy,9,axd67070
Sparks,Leslie,6,lxs77616
Patterson,Nicole,5,njp08545
Lester,Aaron,5,axl60952
Daniels,Amber,6,axd11293
Friedman,Linda,9,llf55044
Brown,Kelsey,9,ksb85997
Beck,David,4,djb29817
Jones,Sarah,8,sxj49423
Rodriguez,Alexander,10,akr14831
Miller,Stephen,7,sem28474
Duffy,Erin,8,exd72538
Rhodes,Kimberly,8,kpr82051
Webb,Heather,5,hxw92728
Lee,Michelle,8,mxl67812
Graham,Benjamin,6,bjg14618
Johnson,Stacy,5,smj00936
Anderson,Lauren,7,lba53221
Greer,April,7,abg77872
Rodriguez,John,5,jsr21334
Brock,Lauren,6,lmb95641
Reyes,Jason,8,jxr10806
Gonzalez,Matthew,6,mjg41514
Adams,Amy,8,ara97741
Warren,Angela,7,axw80146
Smith,Kerry,4,kxs29884
Johnston,Robert,8,rsj94156
Smith,Matthew,7,mxs33416
Bates,Nathan,5,nsb43944
Douglas,Robert,7,rxd29805
Smith,Samantha,5,sxs90647
Foster,Tommy,8,txf41578
White,Amy,6,alw07647
Joyce,Traci,7,txj12345
Patrick,Mark,9,mjp68159
Anderson,Daisy,8,dma58910
Hunt,Brett,4,bch39598
Dudley,Emily,5,eed42850
Watkins,Carol,5,cxw68726
Curry,Alec,8,axc64717
Johnson,Tara,5,txj17476
Wilkerson,Levi,10,lkw48972
Williams,Kimberly,5,kxw26270
James,Margaret,7,mjj83180
Leon,Tammy,4,tgl37922
Baldwin,Lucas,6,lxb98047
Holt,Crystal,8,chh70562
Scott,Michelle,6,mxs33225
Myers,Brian,8,bgm86325
Price,Ricardo,9,rxp56459
Smith,Crystal,5,cjs43553
Miller,Jorge,9,jxm83777
Bryan,Bradley,9,bxb28023
Smith,Andrea,5,aes07091
Petersen,Kristin,7,ksp17362
Hart,Colleen,5,cxh80084
Walls,Joyce,9,jxw53347
Good,Sherry,5,smg03171
Guzman,Cynthia,5,cxg21963
Pena,Jonathan,8,jmp63760
Carter,Lorraine,5,lxc64780
Flores,Russell,6,rcf61653
Boyd,Victoria,8,vkb66346
Moore,Kimberly,5,kam90876
Johnson,Paul,9,pmj37756
Johnson,Jamie,5,jxj82678
Reyes,Bailey,9,bxr62103
Garza,Jessica,7,jag55224
Nguyen,Cindy,6,cxn83965
Simpson,Felicia,10,fxs77894
Dennis,Rachel,6,rxd55884
Garcia,Desiree,7,dsg54218
Rice,Rhonda,7,rkr43763
Clark,Jill,8,jgc21028
Harris,John,8,jlh15029
Terry,Amy,4,ajt73762
Dennis,Cameron,4,cxd92501
Delgado,Desiree,4,djd31335
Poole,Melissa,8,mxp86000
Odom,John,10,jxo31236
Mann,Nicole,10,nxm87406
Reid,Laura,4,lcr30757
Roberts,Steven,7,skr62062
Foster,Ashlee,5,axf16145
Flower,John,7,jgf12345
Allen,Christina,9,cxa22039
Lopez,Mark,4,msl77920
Edwards,Nicole,9,nxe44872
Jones,Daniel,7,dcj14616
Thomas,Brandon,6,bxt62105
Mccall,Kimberly,10,kxm62826
Houston,Emily,7,edh14938
Sampson,Stephanie,9,sxs30610
Reilly,Brandy,5,bkr19538
Miranda,Brett,10,bxm17365
Marshall,Shawn,7,sgm04582
Barrera,Woody,4,wxb12345
Lambert,Malaika,7,mxl12345
Edwards,Timothy,5,tce09928
Young,Joseph,7,jty40106
Sanders,Beth,4,bms82804
Jones,Michele,6,mxj54725
Watson,Holly,10,hsw06874
Benton,Michael,6,mxb67936
Campbell,Charles,5,cxc08121
Weber,Samuel,5,sxw76890
Woodard,John,10,jxw87000
Bauer,John,4,jxb40799
Rogers,Sherry,4,sbr74322
Warren,Tamara,9,tsw14969
Wolf,Courtney,9,cxw91147
Flores,Brandon,6,bcf26283
Evans,Patricia,8,pxe53402
Davidson,Luke,6,lxd16906
Perez,Jeffrey,4,jxp06435
Dunlap,Angela,5,axd31221
Elliott,Richard,5,rge65208
Nguyen,Donna,6,dxn21936
Ramirez,Timothy,4,txr84689
